관광지이름,총점,이름,내용,별점
요천생태습지공원,4.6,이병훈 (쿨가이),"현장 근처에있는 요천생태습지공원...
취사도 가능하면서 반려동물과 함께 산책도 하면서 놀이터에도 갈수 있어서 많이들 좋아할듯 합니다.
야구장도 보이네요^^
겨울철이라 주차장과 시설을 정비하느라 정리정돈이 안되어 있지만 내년 봄부터는 깨끗하게 이용이 가능할듯 하네요!",5
요천생태습지공원,4.6,권승혁,사람도 많이 없고 산책하기좋습니다.,5
요천생태습지공원,4.6,김효준,넓고 강아지 산책 하기 좋음,5
요천생태습지공원,4.6,받아라복,공원이라기에부족하고  일부 사람들만 이용한다,2
요천생태습지공원,4.6,Ven Li Cheng,아름답고 재미있는 공원입니다,5
요천생태습지공원,4.6,진국각,,5
요천생태습지공원,4.6,우택엽,,3
요천생태습지공원,4.6,sunny Oh,,4
요천생태습지공원,4.6,정철,,4
요천생태습지공원,4.6,hayon kwon,,5
요천생태습지공원,4.6,김경수,,5
요천생태습지공원,4.6,홍반장,,5
요천생태습지공원,4.6,존맥클레인,,5
요천생태습지공원,4.6,Mr. PARK,,5
요천생태습지공원,4.6,정해균,,5
요천생태습지공원,4.6,소박하개소소하개,,5
요천생태습지공원,4.6,곽종수,,5
요천생태습지공원,4.6,윤현철,,5
요천생태습지공원,4.6,James Patrick Renz,,4
용계서원,4.3,YP-MO,"유네스코 세계유산으로 등재된 한국의 9대 서원 중 한 곳이다. 내가 갔을 때는 공사중이라서 정돈되지 않은 모습이었다. 무성서원은 신라시대 문신으로 지금의 정읍인 태산군에서 군수를 지낸 최치원을 추모하는 사당이 있는 곳이기도 한데, 다른 유명한 서원보다 규모는 무척 작고 고적한 느낌이었다.

공사가 다 끝난 후에 찾아와 주변에 다른 볼거리와 함께 둘러보면 좋을 것 같다.",4
용계서원,4.3,오준호,"유네스코 세계문화유산 한국의 서원 무성서원(정읍소재)
좋습니다.
공자님이 은행나무 밑에서 후배양성하셨다고 하네요~",4
용계서원,4.3,오연숙,여행 일정에 너무 욕심을 부린 탓에  늦은 시간에 도착했다. 마침 강연이 있어서 외부만 둘러보고 아쉽게 발을 돌려야했다. 무성서원은 유네스코 세계유산에 등재된 9개의 서원 중 하나다. 신라시대 최치원이 선정을 베풀던 지역에 최치원을 배향하였고  일제 강점기때 의병의 거점이었다고한다. 오래 전에 방문했을때는 폐허였는데 많이 정돈되어 있었다. 마을 둘레길 따라 산책하는것도 추천한다.,4
용계서원,4.3,김준성,"23년10월29일 가족들과 함께 방문.

벼가 익어서 고개숙인 한적한 시골 마을
(정말 두세블럭 정도 크기)
누가 얘기해주지 않았으면 유네스코에서 지정한
문화재가 이동네에 있는지 몰랐을듯.

보통 상상하는 배산임수의 서원이 아니고,
마을 어귀에 자리잡은 조금 특별한 서원.

신라 문신 최치원의 공적을 기리기위한
생사당이 있고, 건물의 기둥마다 특별한 서체의 고문들이 새겨있다. 나라를 위해 청렴한 인재로 성장해야한다는 유교사상의 문구들...

다행히 문화재를 안내해주시는 선생님께서 계셔서
정말 자세하고 친절한, 그냥 쓱 보고 지나쳤을지 모르는 구석구석까지 설명을 들을 수 있었음.
서원 위치가 마을의 강한 기가 모이는 지형이라
무속인들이 자주 와서 기를 받아 간다고함.

주차 - 별도 주차장 있음(2~30대 주차가능)
주변 맛집 - 지역 맛집 뚝방가든
:민물매운탕,닭도리탕 등 푸짐함",4
용계서원,4.3,길라무쳐,유네스코 문화유산 등재를 대기중인 9개 서원중 제이 관리가 안되어 있는 느낌의 서원이라 생각됨. 옛 상태 그대로 보존이 목적인지 아니면 문화유산 등재되면 관리하려는 것인지..문화적 가치는 당연히 높겠다만 왠지 방치되어 있다는 느낌이 드는 곳임. 9개 서원중 제일 규모가 작고 단순한 구조임,3
용계서원,4.3,DH Moon,"신라 연암 최지원을 기리는 서원으로 세계유산 한국의 서원 9곳 중 한 곳이다. 주차하고 살펴보긴 좋지만 주변 가정집이 가까워, 너무 떠들지 않도록 주의해야한다. 향약의 바탕이 된 곳이며 20세기초 항일의병의 근거지이기도 하다. 근처를 지나가다 들려서 둘러보면 좋을 것 같다.",4
용계서원,4.3,김순녀,"2022. 11. 2 방문
태산(현 정읍시 태인면) 군수로 있었던 최치원을 기리는 서원. 다른 서원과는 다르게 사망 후 지어진 서원 이라고 함. 우리 나라의 다른 서원들과 같이 유네스코에 등재. 무료 주차장 있고 근처에 정순왕후 태생지, 무성리 3층 석탑을 둘러 볼 수 있다.",4
용계서원,4.3,TAE WOOK HONG,"유네스코 문화유산
서원스테이 즐거운 경험이었습니다.
무성서원을 중심으로 둘레길도 조상되어 있습니다",5
용계서원,4.3,김현자,8곳 서원과 함께 2019년 7월에 유네스코 문화유산에 등재된 무성서원은 우리나라 유일 인가 속에 세워진 서원입니다. 독립운동 관련 유적지이고요. 소박한 듯 강건한 느낌. 다시 가보고 싶네요.,5
용계서원,4.3,견민,"특별한 서원
동네 한가운데에 있으면서 모든이에게 교육의 기회가 주어졌다는데....
그렇게 교육받은 사람들이 동학의 주체가 되고 의명의 주체가 되고....",5
용계서원,4.3,박정수,"무성서원에서 역사의 흔적을 느껴보세요~
대원군때도 사화를 피한 서원입니다.
기운이 좋은 무성서원 명륜당에서 머물길 권합니다.",5
용계서원,4.3,佳人,"9군데 세계문화유산으로 등록된 서원 중
규모가 가장 작고 주택 사이에 있어
조금 산만한 느낌이 들었어요.",4
용계서원,4.3,화이트블랙,"요즘은 어디를가나 보수한다는 명목하에 옛모습을 회손해서 옛모습이 하나도 남아있지않은 곳이 많은데 여기는 옛모습이 많이 남아있어 보기좋았습니다..
비오는데 처마끝에 앉아있으니 옛정취가 고스란히 느껴지는것 같습니다...",4
용계서원,4.3,Hyun Hee Kim,"유네스코세계문화유산이예요! 작아서 금방 구경하긴하는데, 깊이 보면 역시나 아름답네요.",5
용계서원,4.3,Daesik Leigh,"정말 조그만한 서원입니다. 대성전 빼고는 달랑 1개 건물만 있다고 봐야 합니다. 다만 꽤 운치가 있습니다. 가을에 가면 더 멋있을 듯합니다. 한적한 동네 안에 있는데, 다행히 입구 쪽에 어설프나마 찻집도 있습니다. 커피는 너무 맛이 없으니 조금 비싸도 쌍화차 드시는 게 낫습니다.",4
용계서원,4.3,DO W,한적한 곳에 지워진 작은 서원이다. 주차장과 화장실이 있다. 최치원을 기리는 사당도 있다.,3
용계서원,4.3,Sani JW LEE,"2021년 10월 중순 방문시에는 수리 중이라서 좀 어수선 ~

항일 의병의 유적지로도 의미있는 곳!",3
용계서원,4.3,Dooyoung Kim,"(거문고)줄을 뜯고 노래를 부르는 곳. 사액된지 300여년, 세운지 400년 현판이 유치하다.  字體는 강건한데 줄도 노래도 살벌해 잘 되었으려나! ?",5
용계서원,4.3,왕락열,한적한 서원에서 학문에 힘쓰는 모습이 그려집니다. 주위에 연계해서 보거나 즐길만한게 없어서 아쉬웠습니다.,4
용계서원,4.3,YH B,유네스코 세계문화유산 품격이 느껴지는 서원입니다.,5
용계서원,4.3,Angela An,최근 유네스코 지정되었고 보존상태나. 입장료 무료등 장점 많습니다만 아직 정비중이고 문화해설 없는 상태에서는 너무큰기대하지 말고 들리세요,3
용계서원,4.3,박상호,잘 가꾸어져 있고 조상의 숨결을 느낄 수 있는 매력 적인 곳인 것 같다,5
용계서원,4.3,배명희,"정리가잘되어있으며 한옥체험도할수있는서원입니다
아름다운곳입니다",5
용계서원,4.3,스틸무비stillmovie,무성서원 역사적인 한국의 서원 건축물과 자연의 조화로움이 어울러진 매우 아름다운 무성서원입니다,4
용계서원,4.3,이형준,시청에서 관리하는 무성서원은 윈형 보존이 잘 되어 있으며 근무자들도 친절하다.,5
용계서원,4.3,이순교,좀더 문화적 가치와 설명이 있었으면 좋겠다 3층석탑과 미륵입상 표지판은 덤 이다,3
용계서원,4.3,이춘식,역사적인곳 너무좋았어요~,5
용계서원,4.3,이희창,"한참 외진곳에 있다....
네비를 보고 가는데도 찾기는 좀 어렵지만...
한적하고 잘 관리된 느낌",3
용계서원,4.3,김기환,"우리나라 유일의 생활공간 밀착형 서원.
유네스코지정 세계문화유산.
아름답고 멋진서원",5
용계서원,4.3,min lee,무조건 해설사님 설명과 사전지식이 바탕이 되어야 그 가치가 눈에 들어오고 귀에 들립니다. 해설사님 정읍사 노래 들려 주셔서 감동이 배가되었어요,5
용계서원,4.3,이현숙,무료관람이예요 입구에 주차장 있어요 주위가 다 논이예요 조용하구 작은마을에 있더라구요,4
용계서원,4.3,seonki Nha,2019년 유네스코 세계문화유산으로 인증 받았어요.,5
용계서원,4.3,바다별,"정읍 무성서원은 전라북도 정읍시 칠보면 무성리에 있는 서원이다. 1968년 12월 19일 대한민국의 사적 제166호 무성서원으로 지정되었다가, 2011년 7월 28일 정읍 무성서원으로 명칭이 변경되었다.",3
용계서원,4.3,조미화,역사깊은 무성서원. 고즈넉하니 좋습니다,5
용계서원,4.3,박윤철,유네스코세계문화유산 서원 9개 중 전북에 있는 서원이다. 주로 조선시대 인물을 기린 곳이 많은 다른 서원과 달리 신라의 유학자 최치원을 기리기 위해 조선시대에 세운 곳이란다. 건물 수가 좀 적고 기념관이 없지만 주차 공간은 잘 마련되어 있다.,4
용계서원,4.3,이주형,"유네스코  무성서원
문화해설사님께서 잼나게 해설해주셔서 참좋았습니다",4
용계서원,4.3,june Lk,잘 관리되어 고즈넉하고 아름다운 옛모습을 간직하고있는 서원입니다 좋아요♥,4
용계서원,4.3,진홍경,세계 문화유산에 등재된 서원으로서  역사적 가치가 있는 우리나라에 소중한 문화 유산입니다.우리의 소중한 문화유산으로서 후세들에 교육 장소로도 한번은 가볼만한 장소라고 생각 합니다.,5
용계서원,4.3,김영찬,"한적하기는 하지만 어쩌다 한번쯤가서
선인들의 사상과생각들을 느껴보세요.",4
용계서원,4.3,아또,근대역사의 선비정신이 깃든 곳,5
용계서원,4.3,이정우 (율운 이정우),역사와 문화가 살아 쉼.,5
용계서원,4.3,ruby Cat,유네스코에 지정된 조선시대 서원,5
용계서원,4.3,Minkwan Kang,"아담한 규모의 서원이 마을안에 있어요.
오랜 조선시대 목조, 기와 건축.",3
용계서원,4.3,진실의 맛,조용한 시골 마을 한가운데 위치해서 방문자가 거의 없는듯 가볼만한곳,4
용계서원,4.3,박성화,좋은 유적지였습니다. 공연도 하는거 같습니다.,4
용계서원,4.3,Samuel OH,방문할만한 곳입니다.,4
용계서원,4.3,Jeongsu Lee,유네스코 세계문화유산 무성서원,5
용계서원,4.3,이용찬,무성서원은 1906년 병오창의가 일어났던 구한말 호남의병의 첫 창의소 이기도합니다.,4
용계서원,4.3,꼬부기왕,유네스코 세계문화유산으로 등재된 곳입니다. 성현들의 묵향이 느껴지는 곳입니다,5
용계서원,4.3,박은향,한 번 쯤 가 볼만해요,4
용계서원,4.3,Grim BS (Grimbee),세계문화유산에 등재된 서원입니다. 아직 주변 정리는 장 안 되어 있지만 지나는 길에 들러서 쉬어가기에는 좋은 곳입니다. 사전에 무성서원에 대해서 공부를 좀 하고 가면 다 많은 것을 볼 수 있습니다,3
용계서원,4.3,오복출,"전주 인근에 이런 곳이?
농촌 자그마한 마을 가운데 자리한 고즈넉한 서원.
친근하며 선인들 생각이 들게하는 곳..
그나마 [세계유산]으로 지정!",4
용계서원,4.3,SangHyun Shin (hyena02),"다른 유네스코 사원에 비해 면적은 넓은 편이나 지역적 균등성을 위해 불가피하게 선택한 곳으로 보여짐. 도산서원, 병산서원, 남계서원에 비교하면 차이점을 느낄 수 있을 것임.",3
용계서원,4.3,yh park,"도산서원, 병산서원에 비하면 규모는 정말 아담. 세계문화유산 지정되어 가봤음. 집으로 돌아오면서 문득 드는 의문점. 지금도 칠보는 오지. 조선 시대는 더 오지였을 텐데, 왜 이런 오지에 서원을 세웠을까? 요즘으로 치면 사립공무원준비학원인데 어느 정도 규모의 경제가 되는 곳에 위치해야 하는 거 아닌가?",3
용계서원,4.3,최진호,고즈넉하고 조용합니다.,5
용계서원,4.3,김봉근,전라북도에 있는 정서에 좋은 서원,5
용계서원,4.3,송종선,"주차공간도 넓어서 좋았어요.
그리고 한국의 멋을 느낄수 있어서 참 좋아요.
가족과 함께하면 좋은 하루가 될것입니다.",5
용계서원,4.3,Lee Khan,"세계문화유산을 이렇게 관리해도 되나 싶네요. 인가에 가까이 있어서 인지 선정기준이 뭘까 생각해 봄.
도산서원, 병산서원과 너무 비교됨",2
용계서원,4.3,조영재,유네스코지정 됐다고 사람들 엄청 다닐땐 지나만 다녀봄 평일 낯이라 사람한명도 없었음 도산서원에 비해 규모는 엄청 작음. 애들데리고 한번쯤은 가볼만함,4
용계서원,4.3,박소영,"용어가 어렵고 한자설명과  건물및  기념비등
자세한 설명이 아숩네요",3
용계서원,4.3,Sun Myung Lee,가을에  가기 좋아요,5
용계서원,4.3,김한,규모는 작지만 역사가 있는 곳이에요 문화재 해설사에게 설명을 들으면 더 잘 이해하고 느낄수 있어요,3
용계서원,4.3,진리수호,"비교적 정리가 잘되어 있는 곳
얼을 되새기며 사색하기 좋네요 ^^",4
용계서원,4.3,박중수,"화려하지는 않 지만 민가와 어울려 다양한 계층을 수용, 평등하게 지식을 공유 할 수 있는 아주 훌륭한 서원으로 유네스코 지정",5
용계서원,4.3,임채훈,"전북의 서원
고운 최치원",5
용계서원,4.3,신윤석,"무성서원이 2019년7월6일
세계문화유산에 등재된
한국의 9개 서원중 전북의 유일한 서원이라는걸 알게 되었음.",5
용계서원,4.3,Anna Lee,조용하고 아담하지만 최치원 선생 사당이 있고 해설사님이 상주하셔서 해설해주셔요,5
용계서원,4.3,권성원,제가 공부 하던 곳 입니다.,5
용계서원,4.3,이해광,유네스코 세계문화유산이다  고즈넉하고 보존상태가 훌륭하다,4
용계서원,4.3,명랑한운희,조용하고 푸릇함이 너무 좋아요,5
용계서원,4.3,이환현 (행운도사),경북에 서원과 다른 공부만 할 수 있는 서원으로 유네스코 지정 문화유산으로 되었다는 생각이 듭니다.,4
용계서원,4.3,han진영,작지만  강하다?   큰 서원보다  아늑하고  알찬 느낌? 꼭  가보세요  축하드립니다  유네스코등재,5
용계서원,4.3,마야빠야 (hl2xli),유네스코 세계유산으로 등재된 한국의 서원 중 한 곳입니다.,5
용계서원,4.3,박순희 (오호라),"동네속에 서원이라 좀 색다르고 의아했는데
동네속에 같이 있는점을 높이 평가받아서 유네스코에 등재되었답니다",4
용계서원,4.3,김형기,"좋은환경인데 너무 관리가 안되고
있고 사람이 오던지 말던지 관심이
없더군요. 시정요함",4
용계서원,4.3,성선경,한적한 곳이지만 관리가 잘 되고있어 깔끔함. 주차장무료.,3
용계서원,4.3,Sky Choi,해설사선생님 설명도 유익하고 재밌어요 풍수지리상 강당이 아주 좋다고해서 앉았다왔어요 ㅋㅋ,5
용계서원,4.3,It,유네스코 지정됐다고해서 가봤는데 아직 인프라가 부족합니다. 입구에 뭔가 지어지고 있던데 다음을 기약하겠습니다.,3
용계서원,4.3,박민희,세계유네스코에 등재한 서원으로 전북인의. 긍지에힘을 받은것같아요.,5
용계서원,4.3,이한수,아늑하고 편안한 분위기의  선비님의  전하고자하는  정신이  고스란히  전해지는  것 같아요,5
용계서원,4.3,양재환,분위기 좋음,5
용계서원,4.3,박준호,세계문화유산입니다. 한번씩 들렀다 가세요. 입장료는 무료였습니다.,5
용계서원,4.3,김윤수,문묘18현최치원선생을기념하는대표서원입니다,5
용계서원,4.3,천안노타치,조선시대 서원입니다. 아이들과 잠시 방문하기에는 좋습니다.,3
용계서원,4.3,Moonsoo Kyoung,"정읍에서 오래된 한옥(고택)으로 유명해요
한옥체험도 가능해요",5
용계서원,4.3,전인석,조용한 정취를 느낄 수 있습니다. 주차장은 매우 협소해요,5
용계서원,4.3,황호중,세계문화유산 입니다,4
용계서원,4.3,나경대,우리에 역사의 모든 것을 보면 정말 좋아요,1
용계서원,4.3,J.S. Park,신라시대 최치원 선생을 추모하며 만든 서원입니다.,4
용계서원,4.3,정연태,여행중  근처에 있으면 가볼 만 합니다,4
용계서원,4.3,규봉봉,유네스코에 등록되었다는 서원 고즈넉하고 이쁨미다,4
용계서원,4.3,베레베레,생각보다 굉장히 작음. 깨끗이 정돈은 잘되어있답니다,4
용계서원,4.3,Eunjeong “연수팀장 이은정” Lee,"유네스코 등재 된 서원
한적함과 고즈넉함이 일품",5
용계서원,4.3,드론PD,유네스코 세계문화유산으로 지정된 곳입니다,4
용계서원,4.3,부드러운질주,"다른 서원과 비교해서
좀 개방적인듯 싶네요",4
용계서원,4.3,김학희,인문학의 렌즈로 겹쳐봐야 가치있는 역사적 장소,4
용계서원,4.3,이종만,세게적으로 등재된 대한민국의 유산물,5
용계서원,4.3,휴인세상,"최치원을 모신 서원, 1월에 관람을 해서 좀 추웠어요.",4
용계서원,4.3,양순원,작지만 선조들의 건축을 볼 수 있어 좋습니다,4
용계서원,4.3,김수정,외할아버님의 혼이 서려있는곳,5
용계서원,4.3,유대영,전라도의 서원. 최고.공부좀하지ㆍ.,3
용계서원,4.3,박원식,9대 서원 중 유일하게 마을 안에 있네요.,5
용계서원,4.3,지환박,다른 서원에 비해 뭐가 없었음,4
용계서원,4.3,김온시듐,서원이 옛조상의 숨결이 느껴지네요,5
용계서원,4.3,Gyubong Bae,고건축물 그 이상도 이하도 없음,2
용계서원,4.3,JY J,옛 서원의 모습을 만끽할 수 있어요,3
용계서원,4.3,goo romm mi,"유네스코 세계유산으로 지정.
최치원 선생을 모신 서원",3
용계서원,4.3,Jaewon Yun,좋아요,4
용계서원,4.3,김수일,"서원은 아담하고 좋으나 컨텐츠빈약
노력필요",2
용계서원,4.3,양태환,깨끗하고 관리가 잘되어있읍니다,5
용계서원,4.3,오경은,소규모지만 둘러보기 좋아요,5
용계서원,4.3,정지유,선비님들의  정서,3
용계서원,4.3,이정신,연사적으로 가볼안한 곳입니다,4
용계서원,4.3,hyounmo Joo,서원의 분위기가 약간 아쉽습니다.,3
용계서원,4.3,조담,조용하고 깨끗한 공부하던 곳.,4
용계서원,4.3,나들이,유네스코...등재,4
용계서원,4.3,김종욱,태산선비의 향기를 느낄 수 있음,5
용계서원,4.3,hyunjung park,최치원이 여기도 나오넹 ㅋㅋ 역마살이셨나,4
용계서원,4.3,서원준,가볼만해요,5
용계서원,4.3,제영태,고즈녁하니 걷기 좋읍니다.,5
용계서원,4.3,윤효일,유서깊은유네스코지정서원,5
용계서원,4.3,민희숙,조용하고좋아요,5
용계서원,4.3,Sun-min Yang,작지만 유네스코 선정. 해설사분 계심.,5
용계서원,4.3,한주연,아담하고 조용해요,5
용계서원,4.3,YH K,조용한 서원,5
용계서원,4.3,별의별,조용하니  쉬기좋다,4
용계서원,4.3,김예찬,대한민국 최고의 서원,5
용계서원,4.3,방득춘,음 무성서원~~~,5
용계서원,4.3,김진수,볼게 별로 없네요.,3
용계서원,4.3,최균호,좋아요,5
용계서원,4.3,유춘자,아는하고 편안한 곳,5
용계서원,4.3,이진선,멋진곳,5
용계서원,4.3,이명환 (주신),세월을 견딘 고고함,4
용계서원,4.3,어슬렁곰아재,좋구나..공자왈,5
용계서원,4.3,정병찬,세계문화유산,5
용계서원,4.3,오관열,유네스코 문화유산,3
용계서원,4.3,Y Y,무성서원 초입,5
용계서원,4.3,김준기,고향이라서..ㅎ,4
용계서원,4.3,랜드스케이프신,일직선 축.,4
용계서원,4.3,Kwen0828 Suh,역사적 장소.,4
용계서원,4.3,전원갑,그냥 서원,3
용계서원,4.3,Howard Kim,고즈넉함,4
용계서원,4.3,김대성,굳굳굳,5
용계서원,4.3,오병용,괜찮다,5
용계서원,4.3,Marcin Bartel,아주 예쁘지만 더 크고 멋진 것도 있어요 😉…,4
용계서원,4.3,Denis Mamontov,왼쪽 문은 1년에 몇 번만 열립니다. 이 문을 통과하는 것은 조상에 대한 존경의 상징입니다.,5
용계서원,4.3,Sally Arkley,예쁘지만 작습니다. 유네스코 세계문화유산. 조선시대 9개 서원 중 하나. 10분 이내에 전체 사이트를 둘러볼 수 있습니다. 티켓이 필요하지 않습니다. 화장실이 좋아요^^,4
용계서원,4.3,최민환,,5
용계서원,4.3,최혜원,,4
용계서원,4.3,안상갑,,5
용계서원,4.3,이진영,,4
용계서원,4.3,양지영,,4
용계서원,4.3,정인상,,5
용계서원,4.3,양재용,,4
용계서원,4.3,JW P,,5
용계서원,4.3,이민수,,5
용계서원,4.3,정태기,,5
용계서원,4.3,kim솔메,,5
용계서원,4.3,이경옥,,3
용계서원,4.3,기호철,,5
용계서원,4.3,space koh,,4
용계서원,4.3,Dal park,,5
용계서원,4.3,최규태,,5
용계서원,4.3,seungil cho,,5
용계서원,4.3,조한비,좋은,5
용계서원,4.3,minji hwang,,5
용계서원,4.3,무한신뢰,,4
용계서원,4.3,반진옥,,5
용계서원,4.3,MrTedfun,역사를 배우다,5
용계서원,4.3,Tomasz Bartel,우리는 주말에 갔지만 아침에는 관광객이 없었습니다. 방문할만한 가치가 있습니다. 차 없이는 여기에 오기가 어려울 것 같지만.,5
용계서원,4.3,양승규,,4
용계서원,4.3,Hyunsook Park,,3
용계서원,4.3,이광우 (Woori),,5
용계서원,4.3,정운선,,3
용계서원,4.3,이재기 (댄디잭),,4
용계서원,4.3,김영수,,5
용계서원,4.3,승고니,,5
용계서원,4.3,정동,,5
용계서원,4.3,최종호,,4
용계서원,4.3,김수경,,5
용계서원,4.3,유오승,,4
용계서원,4.3,world virtual museum,,5
용계서원,4.3,활로,,5
용계서원,4.3,ingi kim,,4
용계서원,4.3,박정민,,5
용계서원,4.3,Youngrok Kim,,4
용계서원,4.3,힘내요,,4
용계서원,4.3,이병구,,5
용계서원,4.3,ㅇㅣ정은,,5
용계서원,4.3,Soo-Yong So,,5
용계서원,4.3,시사,,5
용계서원,4.3,쿠프,,5
용계서원,4.3,Sewook Kim,,5
용계서원,4.3,남자박경택,,2
용계서원,4.3,윤석만 (서정),,4
용계서원,4.3,남궁하나.현,,3
용계서원,4.3,ZIO TV,,5
용계서원,4.3,최준섭,,3
용계서원,4.3,전명배,,4
용계서원,4.3,김만복,,5
용계서원,4.3,채병수,,5
용계서원,4.3,전용민,,4
용계서원,4.3,김인국,,4
용계서원,4.3,똘이랑잔디랑,,5
용계서원,4.3,문경득,,4
용계서원,4.3,지나가다,,5
용계서원,4.3,CHOONG,,2
용계서원,4.3,Royal,,4
용계서원,4.3,이경혜 (나얌),,4
용계서원,4.3,Lesley Lee,,3
용계서원,4.3,김정현,,5
용계서원,4.3,haksu kim,,5
용계서원,4.3,Myeongho Ann,,4
용계서원,4.3,비케이,,5
용계서원,4.3,최윤석,,5
용계서원,4.3,송기찬,,5
용계서원,4.3,우우혜령,,5
용계서원,4.3,김민철,,5
용계서원,4.3,weekly brush,,4
용계서원,4.3,배용현 (키스미),,4
용계서원,4.3,신현준,,3
용계서원,4.3,항상처음처럼,,5
용계서원,4.3,John Prebyster,,4
용계서원,4.3,나형욱,,5
용계서원,4.3,나형욱,,5
용계서원,4.3,김성현,,5
용계서원,4.3,임재혁,,5
용계서원,4.3,이준일,,3
용계서원,4.3,이강,,4
용계서원,4.3,정희도,,5
용계서원,4.3,김현오,,5
용계서원,4.3,김주형,,4
용계서원,4.3,SEJIN PARK,,4
용계서원,4.3,Korea Tour TV,,4
용계서원,4.3,타피오카,,5
용계서원,4.3,이재원,,5
용계서원,4.3,이펭귄,,3
용계서원,4.3,김금숙,,5
용계서원,4.3,Hwami Lee,,4
용계서원,4.3,황지욱,,5
용계서원,4.3,이정호,,5
용계서원,4.3,Suk JO,,4
용계서원,4.3,XDsGrrrr,,3
용계서원,4.3,pine c,,4
용계서원,4.3,노장환,,5
용계서원,4.3,권선용,,4
용계서원,4.3,이명오,,5
용계서원,4.3,손봉동,,4
용계서원,4.3,은하영,,4
용계서원,4.3,Yun반장,,5
용계서원,4.3,박흥병,,3
용계서원,4.3,su-hyun lee,,5
용계서원,4.3,한대은,,5
용계서원,4.3,김형진,,4
용계서원,4.3,정삼진,,5
용계서원,4.3,이명근,,5
용계서원,4.3,김용구,,5
용계서원,4.3,전성국,,5
용계서원,4.3,하성수,,4
용계서원,4.3,조정훈,,5
용계서원,4.3,권혜운,,5
용계서원,4.3,황루이,,4
용계서원,4.3,영보김,,4
용계서원,4.3,김종학,,3
용계서원,4.3,Hyeon Jin Kim,,4
용계서원,4.3,소순규,,3
용계서원,4.3,노은희,,5
용계서원,4.3,qjin1535송경진,,5
용계서원,4.3,예죠,,4
용계서원,4.3,정상권 (다리실),,3
용계서원,4.3,김기종,,4
용계서원,4.3,유춘욱,,5
용계서원,4.3,日光,,5
용계서원,4.3,Ing Park,,2
용계서원,4.3,우장문,,5
용계서원,4.3,김영선,,5
용계서원,4.3,INOK JEONG,,5
용계서원,4.3,MrDoctorlee2,,4
용계서원,4.3,이현갑,,5
용계서원,4.3,박대원,,4
용계서원,4.3,김선명,,4
용계서원,4.3,강해균,,4
용계서원,4.3,윤순홍,,5
용계서원,4.3,손효준,,3
용계서원,4.3,이설현,,3
용계서원,4.3,김동균,,5
용계서원,4.3,김성독,,2
용계서원,4.3,조기택,,5
용계서원,4.3,jong soo Park,,2
용계서원,4.3,박경일,,4
용계서원,4.3,Jaemin Lee,,5
용굴,4.2,최운성,임진왜란 시에 조선왕조실록을 옮겨 보관 했던곳 입니다.,5
용굴,4.2,김종규,임진왜란 시 조선욍조 실록을 피신하여  보관했던 장소로 조선왕조 실록길을 탐방해볼 수 있음,4
용굴,4.2,Sanpoe,올라가기 가파른 곳이다. 하지만 올라갈수 있다면 멋진 뷰와 명상의 최고 장소를 볼수있다.,4
용굴,4.2,조원향,길도 편안하고 역사적으로 의미있고 숲느낌도 좋아요.,5
용굴,4.2,노영근,아주좋아요,2
용굴,4.2,강현수,개곡물이깨끗 해서기분이정말좋았어요,5
용굴,4.2,보미,모기가 많은데 산이 좋고 예뻐요,4
용굴,4.2,주석철,좋아요 힐링되는 장소네요,5
용굴,4.2,Juyeon yu,"힘들게 올라갔는데.. 생각보다.. 글쎄..
생각보단 와~ 이런느낌은 아님..ㅎㅎ",3
용굴,4.2,최재영,단양에 있는데요 한번쯤 가보시면 세상이 이런일이 할겁니다,5
용굴,4.2,REAL SLOW,계곡을 따라 나있는 산책로. 강추!!,5
용굴,4.2,강명구,가볍게 산책할 수 있는곳,5
용굴,4.2,이고,걷기 정말 좋은곳 입니다.,5
용굴,4.2,천인우,가면......터만남아있다......,2
용굴,4.2,이점숙,내장 힐링~~단풍,5
용굴,4.2,팍홀리,힘늠,1
용굴,4.2,김기주,아름답습니다,5
용굴,4.2,김동식,,5
용굴,4.2,심재연,,4
용굴,4.2,지니,,4
용굴,4.2,권정곤,,5
용굴,4.2,조계원,,5
용굴,4.2,洪仁善,,4
용굴,4.2,han진영,,4
용굴,4.2,chan,,3
용굴,4.2,heung gi oh,,4
용굴,4.2,권홍채,,5
용굴,4.2,이동헌,,4
용굴,4.2,손철수,,4
용굴,4.2,김환식,,5
용굴,4.2,이상두,,4
용굴,4.2,송재용,,5
용굴,4.2,Dae Hyun Kim,,4
용굴,4.2,이동헌,,5
용굴,4.2,김기석,,5
용굴,4.2,비스,,1
용굴,4.2,이서하,,5
용굴,4.2,이병도,,4
용궁마을,4.5,조윤상,,5
용궁마을,4.5,박철호,,4
용궐산,4.4,Dongkook Park,저는 남원시에 있는 호텔에 숙박하고 자차로 용궐산까지 이동하여 등산을 즐겼습니다. 암반에 설치된 데크길이 주는 아름다움이 너무 좋았으며 내려다 보이는 강과 맞은편 산의 풍경도 좋았습니다. 올라가는 편도 코스가 50분 정도 걸린 것 같습니다. 내려올 땐 더 쉽고 빠르게 내려와 졌습니다.,5
